FECHACORTE;NUMEROPROYECTOEDITORIAL;TIPO_DOCUMENTO_SOLICITANTE;NUMERODOCUMENTO_SOLICITANTE;NOMBRES_SOLICITANTE;UBIGEO_SOLICITANTE;DEPARTAMENTO_SOLICITANTE;PROVINCIA_SOLICITANTE;DISTRITO_SOLICITANTE;TITULO;TIRAJE;TIPO_OBRA;FECHA_INICIO_TRAMITE;FECHA_FIN_TRAMITE
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 1° educación primaria (primera parte);5000;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 1° educación primaria : razonamiento matemático;5000;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 2° educación primaria : libro de consulta;4000;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 2° educación primaria : razonamiento matemático;4000;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 3° educación primaria : libro de consulta;3500;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 3° educación primaria : razonamiento matemático;3500;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 4° educación primaria : libro de consulta;4500;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 4° educación primaria : razonamiento matemático;4500;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 5° educación primaria : libro de consulta;3500;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 5° educación primaria : razonamiento matemático;3500;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 6° educación primaria : libro de consulta;3000;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 6° educación primaria : razonamiento matemático;3000;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 1° educación primaria (segunda parte);5000;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 2° educación primaria : libro de actividad (primera parte);4000;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 2° educación primaria : libro de actividad (segunda parte);4000;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 3° educación primaria : libro de actividad (primera parte);3500;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 3° educación primaria : libro de actividad (segunda parte);3500;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 4° educación primaria : libro de actividad (primera parte);4500;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 4° educación primaria : libro de actividad (segunda parte);4500;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 5° educación primaria : libro de actividad (primera parte);3500;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 5° educación primaria : libro de actividad (segunda parte);3500;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 6° educación primaria : libro de actividad (primera parte);3000;Libros;20220922;20230731
20230822;3.15E+13;RUC;4343DD42010685BB8482;EDITORIAL BECA SOCIEDAD ANONIMA CERRADA - EDITORIAL BECA S.A.C.;140122;LIMA;LIMA;RIMAC;Matematizando renovado, 6° educación primaria : libro de actividad (segunda parte);3000;Libros;20220922;20230731
20230822;3.15E+13;RUC;D9275ECE28E458D25CEA;MONIMO S.A.C.;140124;LIMA;LIMA;SAN ISIDRO;No es lo mismo;1000;Libros;20230421;20230731
20230822;3.15E+13;RUC;58203517F1D1173E02D3;ASOCIACION CARIDAD Y VERDAD;140130;LIMA;LIMA;SANTIAGO DE SURCO;Tratado de la verdadera devoción a la Santísima Virgen;20000;Libros;20230105;20230731
20230822;3.15E+13;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;140130;LIMA;LIMA;SANTIAGO DE SURCO;Heraldos del evangelio N° 93;4500;Productos Editoriales Afines;20230314;20230731
20230822;3.15E+13;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;140130;LIMA;LIMA;SANTIAGO DE SURCO;Heraldos del evangelio N° 94;4500;Productos Editoriales Afines;20230314;20230731
20230822;3.15E+13;RUC;14CCC578D874769295CC;EDITORIAL SYNAPSIS S.A.C.;140111;LIMA;LIMA;LINCE;Fundamentos teóricos para la preparación al residentado médico 2024:Pediatría, neonatología y cirugía general, volumen II;1050;Libros;20230407;20230721
20230822;3.15E+13;RUC;14CCC578D874769295CC;EDITORIAL SYNAPSIS S.A.C.;140111;LIMA;LIMA;LINCE;Fundamentos teóricos para la preparación al residentado médico 2024:Gastroenterología, infectología y neurología, volumen III;1050;Libros;20230407;20230721
20230822;3.15E+13;RUC;14CCC578D874769295CC;EDITORIAL SYNAPSIS S.A.C.;140111;LIMA;LIMA;LINCE;Fundamentos teóricos para la preparación al residentado médico 2024:Cardiología, endocrinología y neumología, volumen IV;1050;Libros;20230407;20230721
20230822;3.15E+13;RUC;14CCC578D874769295CC;EDITORIAL SYNAPSIS S.A.C.;140111;LIMA;LIMA;LINCE;Fundamentos teóricos para la preparación al residentado médico 2024:Ginecología,obstetricia,gestión en salud y epidemiología, volumen I;1050;Libros;20230407;20230721
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 1, secundaria : libro escolar, guía del maestro;200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 1, secundaria : libro de actividades, guía del maestro;200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 2, secundaria : libro escolar, guía del maestro;200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 2, secundaria : libro de actividades, guía del maestro;200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 3, secundaria : guía del maestro, libro escolar;200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 3, secundaria : libro de actividades, guía del maestro;200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 4, secundaria : libro escolar, guía del maestro;200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 4, secundaria : libro de actividades, guía del maestro;200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 5, secundaria : libro escolar, guía del maestro;200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 5, secundaria : libro de actividades, guía del maestro;200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Razonamiento matemático vital 1, primaria;1100;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Razonamiento matemático vital 2 : primaria;1100;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Razonamiento matemático vital 3, primaria;1100;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Razonamiento matemático vital 4 : primaria;1100;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Razonamiento matemático vital 5 : primaria;1100;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Razonamiento matemático vital 6 : primaria;1100;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática Vital 1, secundaria : libro escolar;2200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 1, secundaria : libro de actividades;2200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 2, secundaria : libro escolar;2200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 2, secundaria : libro de actividades;2200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 3, secundaria : libro escolar;2000;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 3, secundaria : libro de actividades;2200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 4, secundaria : libro escolar;1400;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 4, secundaria : libro de actividades;1400;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 5, secundaria : libro escolar;1200;Libros;20220808;20230719
20230822;3.15E+13;RUC;E07B255667DBA53799E2;ASOCIACION FONDO DE INVESTIGADORES Y EDITORES - AFINED;140104;LIMA;LIMA;BREÑA;Matemática vital 5, secundaria : libro de actividades;1200;Libros;20220808;20230719
20230822;3.15E+13;RUC;995913D40F053C6CF072;EDICIONES COREFO S.A.C.;140130;LIMA;LIMA;SANTIAGO DE SURCO;Comunicación 1, prim. : libro del área;0;Libros;20220926;20230707
20230822;3.15E+13;RUC;995913D40F053C6CF072;EDICIONES COREFO S.A.C.;140130;LIMA;LIMA;SANTIAGO DE SURCO;Comunicación 1, prim. : libro de actividades, libro 1;0;Libros;20220926;20230707
20230822;3.15E+13;RUC;995913D40F053C6CF072;EDICIONES COREFO S.A.C.;140130;LIMA;LIMA;SANTIAGO DE SURCO;Comunicación 1, prim. : libro de actividades, libro 2;0;Libros;20220926;20230707
20230822;3.15E+13;RUC;995913D40F053C6CF072;EDICIONES COREFO S.A.C.;140130;LIMA;LIMA;SANTIAGO DE SURCO;Razonamiento verbal 1, prim.;0;Libros;20220926;20230707
20230822;3.15E+13;RUC;995913D40F053C6CF072;EDICIONES COREFO S.A.C.;140130;LIMA;LIMA;SANTIAGO DE SURCO;Comprensión lectora 1, prim.;0;Libros;20220926;20230707
20230822;3.15E+13;RUC;995913D40F053C6CF072;EDICIONES COREFO S.A.C.;140130;LIMA;LIMA;SANTIAGO DE SURCO;Comunicación 1, prim. : libro del área, guía del docente;0;Libros;20220926;20230707
20230822;3.15E+13;RUC;995913D40F053C6CF072;EDICIONES COREFO S.A.C.;140130;LIMA;LIMA;SANTIAGO DE SURCO;Comunicación 1, prim. : libro de actividades, guía del docente, libro 1;0;Libros;20220926;20230707
20230822;3.15E+13;RUC;995913D40F053C6CF072;EDICIONES COREFO S.A.C.;140130;LIMA;LIMA;SANTIAGO DE SURCO;Comunicación 1, prim. : libro de actividades, guía del docente, libro 2;0;Libros;20220926;20230707
